sent_id, sent
"railway#43", "It shall be possible for the user to find and display stored numbers and their information."
"railway#44", "The Operational radio is specified to allow its use in the operating environment experienced on the operational "railway# (eg shunting and maintenance)."
"railway#45", "Controls shall be designed such that they are suitable for use by people wearing gloves."
"railway#46", "It should be possible for the system to prevent certain types of users from registering functional numbers that they are not authorised to use."
"railway#47", "As a minimum, the location information used by the EIRENE system shall be derived from that available from the network itself (eg current cell or base station serving the mobile)."
"railway#48", "After the 30 second period, if the connection was unsuccessful, the system shall provide another audible and visual indication that it was unable to connect the call."
"railway#49", "For post-incident analysis, it is important that the origination and reception of "railway# emergency calls by mobiles is confirmed by a message sent to a ground-based central location (and also recorded in the on-train recording device)."
"railway#50", "Throughout the duration of the shunting group call, it shall be possible for any member of the shunting group to speak to all other members of the group, using the PTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except during transmission of the link assurance signal."
"railway#51", "The shunting leader can then choose the moment when he takes or rejects the call."
"railway#52", "In this case, the safety device will alert the driver only if the link assurance signal has failed or if it is cancelled."
"railway#53", "300ms represents our current best estimate of the QoS figure, although this will need to be confirmed through user trials."
"railway#54", "Each authority can decide whether it wishes to use synchronised BTSs."
"railway#55", "The network shall terminate the ongoing VGCS/VBS call if it receives the 3-digit sequence “***” transmitted via DTMF signals."
"railway#56", "The network shall send the SET-PARAMETER message with the attribute “D-ATT = T”1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if it receives the 3- digit sequence “ddd” transmitted via DTMF or the group call SETUP message2 from a controller terminal."
"railway#57", "When the network has detected the 3-digit DTMF sequence “ddd” transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone “?” of duration of 100ms  5ms to be sent to that controller terminal only."
"railway#58", "The network shall send the SET-PARAMETER message with the attribute “D-ATT = F”3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if it has received the 3-digit sequence “dDD” transmitted via DTMF from all the talking controllers4."
"railway#59", "Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for their applicability to the EIRENE system if any modifications are made to these standards in the future."
"railway#60", "Each of the other cabs on the train will be contacted using its functional number (registered by the other drivers prior to the establishment of the call)."
"railway#61", "Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which it is associated."
"railway#62", "The Cab radio system shall provide a means for the driver to terminate established calls which he is authorised to terminate."
"home#01", "The Digitalhome programmable Appliance Manager shall provide for management of a home’s small appliances, including lighting units, by allowing a user to turn them on or off as desired."
"home#02", "Although the product produced under this document will be a “prototype” version, all modules and components of this prototype version shall be designed and implemented in such a manner that it may be incorporated in a fully specified commercial version of the Digitalhome System."
"home#03", "The Digitalhome System shall provide users with online documentation about the Digitalhome system installed in their home."
"space#01", "The FCP shall, if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE."16."
"space#02", "Each rate group has some number of tasks associated with it and it also has a rate for those tasks."
"space#03", "The enabled tasks are then unblocked at the rate given in its associated rate group."
"space#04", "An API call is available for the task to call to block itself when it is finished with its cyclic processing."
"space#05", "There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking."
"space#06", "The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until its next iteration."
"space#07", "The scheduler shall give tasks priority values according to their rate - the higher the rate, the higher the priority."
"space#08", "The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task."
"space#09", "All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization."
"space#10", "Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop."
"space#11", "For hardware exceptions and reserved exceptions, the FTSS shall make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred."
"space#12", "Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket."
"space#13", "This restriction does NOT apply to the ICPs since they are running as simplex VGs."
"space#14", "FTSS shall mask out a babbling NE or ICP within 40 milliseconds after it is detected."
"space#15", "Synchronous message passing sockets shall queue outgoing messages until they are transmitted at frame boundaries."
"space#16", "Pipes may be opened by multiple receiving tasks if they are created with the broadcast capability; otherwise they may only be opened by one receiving task."
"space#17", "Communication services shall provide the capability to create pipe"s which "broadcast" their messages to all virtual groups.""
"space#18", "If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems."
"space#19", "The application software shall have the capability to reset a permanently failed channel to its initial recovery state."
"space#20", "Redundancy Management picks up where it left off in these attempts."
